ccaa,anyo,viv_nueva,viv_rehab,viv_demolicion,viv_total
Canarias,2007,24751.0,717.0,776.0,24692.0
Canarias,2008,9260.0,377.0,239.0,9398.0
Canarias,2009,3258.0,230.0,88.0,3400.0
Canarias,2010,2472.0,162.0,90.0,2544.0
Canarias,2011,1908.0,661.0,61.0,2508.0
Canarias,2013,709.0,142.0,47.0,804.0
Canarias,2014,393.0,110.0,39.0,464.0
Canarias,2015,647.0,173.0,117.0,703.0
Canarias,2016,885.0,203.0,94.0,994.0
Canarias,2017,1533.0,384.0,76.0,1841.0
Canarias,2018,1846.0,1194.0,85.0,2955.0
Canarias,2019,2988.0,328.0,138.0,3178.0
Canarias,2020,4245.0,427.0,107.0,4565.0
Canarias,2021,3671.0,508.0,114.0,4065.0
Canarias,2022,4039.0,693.0,132.0,4600.0
Cantabria,2000,7903.0,209.0,95.0,8017.0
Cantabria,2001,7852.0,303.0,139.0,8016.0
Cantabria,2002,7619.0,308.0,141.0,7786.0
Cantabria,2003,6371.0,361.0,139.0,6593.0
Cantabria,2004,9920.0,336.0,152.0,10104.0
Cantabria,2005,11708.0,536.0,231.0,12013.0
Cantabria,2006,15789.0,396.0,217.0,15968.0
Cantabria,2007,11835.0,321.0,192.0,11964.0
Cantabria,2008,4519.0,245.0,98.0,4666.0
Cantabria,2009,1726.0,245.0,52.0,1919.0
Cantabria,2010,717.0,132.0,85.0,764.0
Cantabria,2011,867.0,133.0,56.0,944.0
Cantabria,2013,360.0,155.0,71.0,444.0
Cantabria,2014,371.0,127.0,80.0,418.0
Cantabria,2015,434.0,121.0,28.0,527.0
Cantabria,2016,198.0,127.0,64.0,261.0
Cantabria,2017,315.0,141.0,49.0,407.0
Cantabria,2018,999.0,149.0,58.0,1090.0
Cantabria,2019,1094.0,121.0,51.0,1164.0
Cantabria,2020,773.0,85.0,41.0,817.0
Cantabria,2021,656.0,97.0,53.0,700.0
Cantabria,2022,676.0,70.0,45.0,701.0
Castilla - La Mancha,2000,25886.0,367.0,771.0,25482.0
Castilla - La Mancha,2001,29505.0,621.0,1116.0,29010.0
Castilla - La Mancha,2002,27113.0,374.0,1677.0,25810.0
Castilla - La Mancha,2003,38502.0,498.0,1538.0,37462.0
Castilla - La Mancha,2004,51259.0,551.0,1639.0,50171.0
Castilla - La Mancha,2005,65644.0,528.0,1850.0,64322.0
Castilla - La Mancha,2006,69869.0,842.0,2738.0,67973.0
Castilla - La Mancha,2007,67501.0,458.0,2209.0,65750.0
Castilla - La Mancha,2008,27196.0,450.0,1396.0,26250.0
Castilla - La Mancha,2009,9002.0,301.0,867.0,8436.0
Castilla - La Mancha,2010,7565.0,303.0,988.0,6880.0
Castilla - La Mancha,2011,5248.0,246.0,802.0,4692.0
Castilla - La Mancha,2013,1977.0,260.0,640.0,1597.0
Castilla - La Mancha,2014,1854.0,125.0,613.0,1366.0
Castilla - La Mancha,2015,2446.0,148.0,728.0,1866.0
Castilla - La Mancha,2016,2767.0,151.0,657.0,2261.0
Castilla - La Mancha,2017,2901.0,171.0,898.0,2174.0
Castilla - La Mancha,2018,2207.0,102.0,393.0,1916.0
Castilla - La Mancha,2019,506.0,234.0,79.0,660.0
Castilla - La Mancha,2020,738.0,226.0,163.0,802.0
Castilla - La Mancha,2021,934.0,336.0,320.0,950.0
Castilla - La Mancha,2022,888.0,416.0,330.0,974.0
Castilla y León,2000,17960.0,548.0,696.0,17812.0
Castilla y León,2001,13784.0,544.0,603.0,13725.0
Castilla y León,2002,13557.0,461.0,590.0,13428.0
Castilla y León,2003,16503.0,541.0,765.0,16279.0
Castilla y León,2004,15198.0,477.0,295.0,15380.0
Castilla y León,2005,19248.0,662.0,505.0,19405.0
Castilla y León,2006,31032.0,764.0,761.0,31035.0
Castilla y León,2007,23028.0,462.0,551.0,22939.0
Castilla y León,2008,11705.0,354.0,452.0,11607.0
Castilla y León,2009,5483.0,383.0,524.0,5342.0
Castilla y León,2010,4399.0,348.0,483.0,4264.0
Castilla y León,2011,2897.0,385.0,499.0,2783.0
Castilla y León,2013,1872.0,209.0,470.0,1611.0
Castilla y León,2014,1149.0,238.0,302.0,1085.0
Castilla y León,2015,990.0,222.0,263.0,949.0
Castilla y León,2016,1661.0,194.0,277.0,1578.0
Castilla y León,2017,2417.0,265.0,457.0,2225.0
Castilla y León,2018,1630.0,194.0,398.0,1426.0
Castilla y León,2019,2343.0,223.0,211.0,2355.0
Castilla y León,2020,1168.0,95.0,74.0,1189.0
Castilla y León,2021,1705.0,100.0,73.0,1732.0
Castilla y León,2022,1940.0,132.0,51.0,2021.0
Cataluña,2000,59811.0,3074.0,2586.0,60299.0
Cataluña,2001,46262.0,3013.0,2504.0,46771.0
Cataluña,2002,52058.0,2913.0,2547.0,52424.0
Cataluña,2003,72731.0,4509.0,3570.0,73670.0
Cataluña,2004,97718.0,7126.0,5359.0,99485.0
Cataluña,2005,99169.0,6338.0,6375.0,99132.0
Cataluña,2006,125402.0,6735.0,9309.0,122828.0
Cataluña,2007,109321.0,5131.0,7870.0,106582.0
Cataluña,2008,44521.0,3894.0,3720.0,44695.0
Cataluña,2009,14729.0,1989.0,1564.0,15154.0
Cataluña,2010,10709.0,2580.0,1444.0,11845.0
Cataluña,2011,6865.0,1399.0,789.0,7475.0
Cataluña,2013,2737.0,947.0,758.0,2926.0
Cataluña,2014,5507.0,1192.0,796.0,5903.0
Cataluña,2015,5587.0,1569.0,642.0,6514.0
Cataluña,2016,8932.0,1846.0,753.0,10025.0
Cataluña,2017,11323.0,1874.0,904.0,12293.0
Cataluña,2018,17077.0,2416.0,1229.0,18264.0
Cataluña,2019,13923.0,2133.0,925.0,15131.0
Cataluña,2020,11519.0,2143.0,861.0,12801.0
Cataluña,2021,11634.0,2122.0,891.0,12865.0
Cataluña,2022,12710.0,1973.0,873.0,13810.0
Ceuta,2000,0.0,0.0,0.0,0.0
Ceuta,2001,0.0,0.0,0.0,0.0
Ceuta,2002,0.0,0.0,0.0,0.0
Ceuta,2003,0.0,0.0,0.0,0.0
Ceuta,2004,0.0,0.0,0.0,0.0
Ceuta,2005,122.0,1.0,4.0,119.0
Ceuta,2006,418.0,5.0,44.0,379.0
Ceuta,2007,352.0,4.0,30.0,326.0
Ceuta,2008,418.0,14.0,4.0,428.0
Ceuta,2009,177.0,8.0,5.0,180.0
Ceuta,2010,349.0,7.0,8.0,348.0
Ceuta,2011,12.0,4.0,2.0,14.0
Ceuta,2013,1.0,5.0,7.0,-1.0
Ceuta,2014,0.0,0.0,0.0,0.0
Ceuta,2015,0.0,0.0,0.0,0.0
Ceuta,2016,0.0,0.0,0.0,0.0
Ceuta,2017,0.0,0.0,0.0,0.0
Ceuta,2018,0.0,0.0,0.0,0.0
Ceuta,2019,0.0,0.0,0.0,0.0
Comunitat Valenciana,2000,68866.0,1177.0,2236.0,67807.0
Comunitat Valenciana,2001,61366.0,1079.0,2012.0,60433.0
Comunitat Valenciana,2002,65331.0,1804.0,2129.0,65006.0
Comunitat Valenciana,2003,77973.0,1456.0,2335.0,77094.0
Comunitat Valenciana,2004,83111.0,1585.0,2880.0,81816.0
Comunitat Valenciana,2005,90083.0,2128.0,3316.0,88895.0
Comunitat Valenciana,2006,92570.0,1969.0,3386.0,91153.0
Comunitat Valenciana,2007,81298.0,1852.0,3276.0,79874.0
Comunitat Valenciana,2008,27995.0,1342.0,1519.0,27818.0
Comunitat Valenciana,2009,8709.0,904.0,852.0,8761.0
Comunitat Valenciana,2010,5696.0,658.0,671.0,5683.0
Comunitat Valenciana,2011,3667.0,544.0,590.0,3621.0
Comunitat Valenciana,2013,3144.0,335.0,379.0,3100.0
Comunitat Valenciana,2014,3545.0,310.0,379.0,3476.0
Comunitat Valenciana,2015,4712.0,402.0,468.0,4646.0
Comunitat Valenciana,2016,6541.0,423.0,509.0,6455.0
Comunitat Valenciana,2017,6588.0,466.0,645.0,6409.0
Comunitat Valenciana,2018,8873.0,518.0,710.0,8681.0
Comunitat Valenciana,2019,10657.0,550.0,755.0,10452.0
Comunitat Valenciana,2020,10855.0,598.0,698.0,10755.0
Comunitat Valenciana,2021,9994.0,557.0,682.0,9869.0
Comunitat Valenciana,2022,9688.0,509.0,585.0,9612.0
Extremadura,2000,6267.0,253.0,325.0,6195.0
Extremadura,2001,4489.0,272.0,236.0,4525.0
Extremadura,2002,6462.0,223.0,282.0,6403.0
Extremadura,2003,4765.0,248.0,290.0,4723.0
Extremadura,2004,6082.0,267.0,234.0,6115.0
Extremadura,2005,8340.0,321.0,243.0,8418.0
Extremadura,2006,10004.0,401.0,320.0,10085.0
Extremadura,2007,7968.0,393.0,225.0,8136.0
Extremadura,2008,5416.0,489.0,254.0,5651.0
Extremadura,2009,2153.0,425.0,115.0,2463.0
Extremadura,2010,2874.0,323.0,196.0,3001.0
Extremadura,2011,1670.0,286.0,159.0,1797.0
Extremadura,2013,613.0,152.0,128.0,637.0
Extremadura,2014,600.0,241.0,424.0,417.0
Extremadura,2015,730.0,152.0,151.0,731.0
Extremadura,2016,1293.0,209.0,191.0,1311.0
Extremadura,2017,1180.0,197.0,183.0,1194.0
Extremadura,2018,391.0,72.0,68.0,395.0
Extremadura,2019,983.0,187.0,169.0,1001.0
Extremadura,2020,996.0,192.0,150.0,1038.0
Extremadura,2021,1120.0,191.0,175.0,1136.0
Extremadura,2022,1171.0,185.0,175.0,1181.0
Galicia,2000,29936.0,1065.0,865.0,30136.0
Galicia,2001,22499.0,930.0,964.0,22465.0
Galicia,2002,24788.0,698.0,829.0,24657.0
Galicia,2003,25550.0,1112.0,1055.0,25607.0
Galicia,2004,32505.0,1293.0,1532.0,32266.0
Galicia,2005,36048.0,1259.0,1297.0,36010.0
Galicia,2006,41118.0,1137.0,1176.0,41079.0
Galicia,2007,45614.0,1289.0,1520.0,45383.0
Galicia,2008,23163.0,1277.0,1019.0,23421.0
Galicia,2009,7372.0,938.0,535.0,7775.0
Galicia,2010,4811.0,696.0,486.0,5021.0
Galicia,2011,3547.0,427.0,256.0,3718.0
Galicia,2013,1320.0,347.0,268.0,1399.0
Galicia,2014,1166.0,295.0,226.0,1235.0
Galicia,2015,1149.0,331.0,255.0,1225.0
Galicia,2016,1218.0,405.0,273.0,1350.0
Galicia,2017,1372.0,415.0,223.0,1564.0
Galicia,2018,2238.0,447.0,258.0,2427.0
Galicia,2019,2217.0,430.0,293.0,2354.0
Galicia,2020,2497.0,606.0,241.0,2862.0
Galicia,2021,2554.0,589.0,240.0,2903.0
Galicia,2022,2453.0,577.0,229.0,2801.0
"Madrid, Comunidad de",2000,52060.0,1474.0,1528.0,52006.0
"Madrid, Comunidad de",2001,43981.0,1421.0,1204.0,44198.0
"Madrid, Comunidad de",2002,46037.0,1023.0,1394.0,45666.0
"Madrid, Comunidad de",2003,45015.0,1127.0,957.0,45185.0
"Madrid, Comunidad de",2004,51802.0,1004.0,1027.0,51779.0
"Madrid, Comunidad de",2005,63468.0,1331.0,1432.0,63367.0
"Madrid, Comunidad de",2006,61687.0,1082.0,1685.0,61084.0
"Madrid, Comunidad de",2007,50398.0,981.0,1452.0,49927.0
"Madrid, Comunidad de",2008,24564.0,585.0,885.0,24264.0
"Madrid, Comunidad de",2009,25055.0,361.0,839.0,24577.0
"Madrid, Comunidad de",2010,13867.0,198.0,633.0,13432.0
"Madrid, Comunidad de",2011,16918.0,429.0,488.0,16859.0
"Madrid, Comunidad de",2013,6140.0,291.0,272.0,6159.0
"Madrid, Comunidad de",2014,8743.0,841.0,315.0,9269.0
"Madrid, Comunidad de",2015,7176.0,646.0,311.0,7511.0
"Madrid, Comunidad de",2016,14676.0,1228.0,490.0,15414.0
"Madrid, Comunidad de",2017,14018.0,1304.0,596.0,14726.0
"Madrid, Comunidad de",2018,15841.0,1722.0,476.0,17087.0
"Madrid, Comunidad de",2019,19825.0,1015.0,589.0,20251.0
"Madrid, Comunidad de",2020,25546.0,621.0,375.0,25792.0
"Madrid, Comunidad de",2021,23375.0,596.0,463.0,23508.0
"Madrid, Comunidad de",2022,22251.0,552.0,487.0,22316.0
Melilla,2000,0.0,0.0,0.0,0.0
Melilla,2001,0.0,0.0,0.0,0.0
Melilla,2002,0.0,0.0,0.0,0.0
Melilla,2003,0.0,0.0,0.0,0.0
Melilla,2004,0.0,0.0,0.0,0.0
Melilla,2005,400.0,25.0,47.0,378.0
Melilla,2006,499.0,15.0,90.0,424.0
Melilla,2007,773.0,25.0,121.0,677.0
Melilla,2008,695.0,14.0,100.0,609.0
Melilla,2009,292.0,30.0,59.0,263.0
Melilla,2010,716.0,23.0,90.0,649.0
Melilla,2011,426.0,79.0,71.0,434.0
Melilla,2013,118.0,15.0,30.0,103.0
Melilla,2014,134.0,28.0,20.0,142.0
Melilla,2015,71.0,28.0,13.0,86.0
Melilla,2016,151.0,18.0,15.0,154.0
Melilla,2017,0.0,0.0,0.0,0.0
Melilla,2018,0.0,0.0,0.0,0.0
Melilla,2019,0.0,0.0,0.0,0.0
"Murcia, Región de",2000,15097.0,206.0,550.0,14753.0
"Murcia, Región de",2001,15108.0,289.0,532.0,14865.0
"Murcia, Región de",2002,19407.0,377.0,767.0,19017.0
"Murcia, Región de",2003,23372.0,268.0,812.0,22828.0
"Murcia, Región de",2004,28536.0,370.0,1076.0,27830.0
"Murcia, Región de",2005,23869.0,260.0,1289.0,22840.0
"Murcia, Región de",2006,29237.0,319.0,1378.0,28178.0
"Murcia, Región de",2007,34747.0,314.0,1412.0,33649.0
"Murcia, Región de",2008,12026.0,295.0,612.0,11709.0
"Murcia, Región de",2009,3168.0,166.0,190.0,3144.0
"Murcia, Región de",2010,2573.0,89.0,213.0,2449.0
"Murcia, Región de",2011,1225.0,53.0,103.0,1175.0
"Murcia, Región de",2013,621.0,44.0,119.0,546.0
"Murcia, Región de",2014,561.0,58.0,130.0,489.0
"Murcia, Región de",2015,688.0,46.0,99.0,635.0
"Murcia, Región de",2016,1136.0,45.0,348.0,833.0
"Murcia, Región de",2017,1011.0,53.0,166.0,898.0
"Murcia, Región de",2018,1440.0,101.0,185.0,1356.0
"Murcia, Región de",2019,1420.0,108.0,158.0,1370.0
"Murcia, Región de",2020,1234.0,83.0,164.0,1153.0
"Murcia, Región de",2021,1232.0,86.0,145.0,1173.0
"Murcia, Región de",2022,1132.0,68.0,162.0,1038.0
"Navarra, Comunidad Foral de",2000,4248.0,98.0,108.0,4238.0
"Navarra, Comunidad Foral de",2001,2462.0,79.0,113.0,2428.0
"Navarra, Comunidad Foral de",2002,4191.0,80.0,133.0,4138.0
"Navarra, Comunidad Foral de",2003,4186.0,198.0,165.0,4219.0
"Navarra, Comunidad Foral de",2004,6823.0,165.0,192.0,6796.0
"Navarra, Comunidad Foral de",2005,4764.0,98.0,188.0,4674.0
"Navarra, Comunidad Foral de",2006,6823.0,459.0,355.0,6927.0
"Navarra, Comunidad Foral de",2007,10385.0,416.0,304.0,10497.0
"Navarra, Comunidad Foral de",2008,6672.0,404.0,394.0,6682.0
"Navarra, Comunidad Foral de",2009,1826.0,223.0,121.0,1928.0
"Navarra, Comunidad Foral de",2010,1934.0,270.0,282.0,1922.0
"Navarra, Comunidad Foral de",2011,4149.0,235.0,159.0,4225.0
"Navarra, Comunidad Foral de",2013,519.0,87.0,33.0,573.0
"Navarra, Comunidad Foral de",2014,828.0,106.0,110.0,824.0
"Navarra, Comunidad Foral de",2015,977.0,87.0,106.0,958.0
"Navarra, Comunidad Foral de",2016,1245.0,93.0,231.0,1107.0
"Navarra, Comunidad Foral de",2017,1090.0,22.0,119.0,993.0
"Navarra, Comunidad Foral de",2018,2761.0,53.0,115.0,2699.0
"Navarra, Comunidad Foral de",2019,2607.0,127.0,84.0,2650.0
"Navarra, Comunidad Foral de",2020,1525.0,126.0,81.0,1500.0
"Navarra, Comunidad Foral de",2021,1343.0,127.0,72.0,1404.0
"Navarra, Comunidad Foral de",2022,1240.0,125.0,91.0,1392.0
País Vasco,2000,13917.0,719.0,241.0,14395.0
País Vasco,2001,13712.0,1091.0,1810.0,12993.0
País Vasco,2002,5343.0,860.0,569.0,5634.0
País Vasco,2003,9549.0,766.0,589.0,9726.0
País Vasco,2004,10066.0,782.0,650.0,10198.0
País Vasco,2005,5513.0,812.0,698.0,5627.0
País Vasco,2006,16803.0,1406.0,1582.0,16627.0
País Vasco,2007,7031.0,1748.0,730.0,8049.0
País Vasco,2008,3126.0,645.0,498.0,3273.0
País Vasco,2009,5772.0,144.0,65.0,5851.0
País Vasco,2010,3150.0,228.0,83.0,3295.0
País Vasco,2011,7144.0,775.0,235.0,7684.0
País Vasco,2013,2824.0,338.0,690.0,2472.0
País Vasco,2014,1493.0,532.0,315.0,1710.0
País Vasco,2015,974.0,126.0,44.0,1056.0
País Vasco,2016,998.0,187.0,67.0,1118.0
País Vasco,2017,1373.0,132.0,42.0,1463.0
País Vasco,2018,1275.0,222.0,141.0,1356.0
País Vasco,2019,1708.0,93.0,53.0,1748.0
País Vasco,2020,1027.0,167.0,89.0,1105.0
País Vasco,2021,1213.0,161.0,96.0,1278.0
País Vasco,2022,1247.0,134.0,138.0,1243.0
"Rioja, La",2000,3267.0,37.0,130.0,3174.0
"Rioja, La",2001,3003.0,24.0,70.0,2957.0
"Rioja, La",2002,3088.0,46.0,138.0,2996.0
"Rioja, La",2003,3866.0,80.0,119.0,3827.0
"Rioja, La",2004,7815.0,125.0,215.0,7725.0
"Rioja, La",2005,9801.0,108.0,194.0,9715.0
"Rioja, La",2006,8264.0,85.0,241.0,8108.0
"Rioja, La",2007,6308.0,128.0,169.0,6267.0
"Rioja, La",2008,2037.0,109.0,190.0,1956.0
"Rioja, La",2009,807.0,35.0,85.0,757.0
"Rioja, La",2010,1268.0,46.0,65.0,1249.0
"Rioja, La",2011,424.0,18.0,75.0,367.0
"Rioja, La",2013,212.0,31.0,173.0,70.0
"Rioja, La",2014,111.0,35.0,120.0,26.0
"Rioja, La",2015,275.0,49.0,71.0,253.0
"Rioja, La",2016,161.0,6.0,20.0,147.0
"Rioja, La",2017,272.0,3.0,37.0,238.0
"Rioja, La",2018,140.0,9.0,47.0,102.0
"Rioja, La",2019,261.0,9.0,115.0,155.0
"Rioja, La",2020,52.0,22.0,44.0,30.0
"Rioja, La",2021,180.0,31.0,50.0,161.0
"Rioja, La",2022,174.0,23.0,35.0,162.0
